Project name: ReportComparator,Debt total: 57228
Severity,Number
MINOR,921
MAJOR,483
CRITICAL,320
INFO,0
BLOCKER,0
CODE_SMELL,1724
VULNERABILITY,29
BUG,4
SECURITY_HOTSPOT,0
MINOR,921
MAJOR,483
CRITICAL,320
INFO,0
BLOCKER,0
CODE_SMELL,1724
VULNERABILITY,29
BUG,4
SECURITY_HOTSPOT,0
MINOR,921
MAJOR,483
CRITICAL,320
INFO,0
BLOCKER,0
CODE_SMELL,1724
VULNERABILITY,29
BUG,4
SECURITY_HOTSPOT,0
MINOR,921
MAJOR,483
CRITICAL,320
INFO,0
BLOCKER,0
CODE_SMELL,1724
VULNERABILITY,29
BUG,4
SECURITY_HOTSPOT,0
